# meta: {"duration": 6.0, "fps": 24.0, "frame_count": 144, "led_count": 160, "motion": {"code": 0, "direction": "LEFT_ORIGIN"}, "palette": ["#ff6f61", "#ffd54f", "#00bcd4"], "ramp_space": "hsluv", "show_params": {"wave_amplitude": 0.45, "wave_direction": 1.0, "wave_frequency": 1.0, "wave_phase": 0.0, "wave_speed": 0.5}, "show_type": "sine", "software_version": "prism-tools/0.1.0", "sync": {"code": 0, "mode": "SYNC"}}
frame,led,r,g,b
0,0,255,213,79
0,1,249,214,0
0,2,239,215,0
0,3,228,217,0
0,4,217,218,0
0,5,205,219,0
0,6,193,220,0
0,7,180,221,0
0,8,166,222,0
0,9,150,223,0
0,10,129,225,0
0,11,102,226,0
0,12,59,228,0
0,13,0,227,64
0,14,0,225,101
0,15,0,222,121
0,16,0,220,135
0,17,0,218,146
0,18,0,216,154
0,19,0,214,161
0,20,0,212,166
0,21,0,210,171
0,22,0,209,175
0,23,0,207,178
0,24,0,206,181
0,25,0,205,184
0,26,0,203,186
0,27,0,202,188
0,28,0,201,190
0,29,0,200,192
0,30,0,199,194
0,31,0,198,195
0,32,0,198,196
0,33,0,197,197
0,34,0,196,198
0,35,0,196,199
0,36,0,196,200
0,37,0,195,200
0,38,0,195,200
0,39,0,195,201
0,40,0,195,201
0,41,0,195,201
0,42,0,195,200
0,43,0,195,200
0,44,0,196,199
0,45,0,196,199
0,46,0,197,198
0,47,0,197,197
0,48,0,198,196
0,49,0,199,194
0,50,0,200,193
0,51,0,201,191
0,52,0,202,189
0,53,0,203,188
0,54,0,204,185
0,55,0,205,183
0,56,0,207,180
0,57,0,208,176
0,58,0,210,173
0,59,0,211,168
0,60,0,213,164
0,61,0,215,157
0,62,0,217,150
0,63,0,219,141
0,64,0,221,129
0,65,0,223,113
0,66,0,226,86
0,67,0,229,17
0,68,84,227,0
0,69,116,225,0
0,70,140,224,0
0,71,158,223,0
0,72,174,222,0
0,73,187,221,0
0,74,200,219,0
0,75,211,218,0
0,76,222,217,0
0,77,233,216,0
0,78,244,215,0
0,79,255,213,0
0,80,255,211,79
0,81,255,208,80
0,82,255,205,80
0,83,255,202,80
0,84,255,199,80
0,85,255,195,80
0,86,255,192,79
0,87,255,189,79
0,88,255,186,79
0,89,255,183,78
0,90,255,180,78
0,91,255,177,78
0,92,255,174,78
0,93,255,171,78
0,94,255,168,78
0,95,255,165,78
0,96,255,162,79
0,97,255,159,79
0,98,255,157,79
0,99,255,154,80
0,100,255,151,81
0,101,255,149,81
0,102,255,146,82
0,103,255,144,83
0,104,255,142,83
0,105,255,140,84
0,106,255,137,85
0,107,255,136,86
0,108,255,134,86
0,109,255,132,87
0,110,255,131,88
0,111,255,129,88
0,112,255,128,89
0,113,255,127,89
0,114,255,126,90
0,115,255,125,90
0,116,255,124,91
0,117,255,124,91
0,118,255,124,91
0,119,255,124,91
0,120,255,124,91
0,121,255,124,91
0,122,255,124,91
0,123,255,125,90
0,124,255,125,90
0,125,255,126,90
0,126,255,127,89
0,127,255,128,89
0,128,255,130,88
0,129,255,131,88
0,130,255,133,87
0,131,255,135,86
0,132,255,137,85
0,133,255,138,85
0,134,255,141,84
0,135,255,143,83
0,136,255,145,82
0,137,255,147,82
0,138,255,150,81
0,139,255,152,80
0,140,255,155,80
0,141,255,158,79
0,142,255,160,79
0,143,255,163,78
0,144,255,166,78
0,145,255,169,78
0,146,255,172,78
0,147,255,175,78
0,148,255,178,78
0,149,255,181,78
0,150,255,184,78
0,151,255,188,79
0,152,255,191,79
0,153,255,194,79
0,154,255,197,80
0,155,255,200,80
0,156,255,203,80
0,157,255,207,80
0,158,255,210,80
0,159,255,213,79
1,0,224,217,0
1,1,213,218,0
1,2,202,219,0
1,3,189,220,0
